Player,Stats_from,Age,MPG,PPG,PER,TOPG,PFG,2017_2018 Salary
Quincy Acy,2016.0,-0.28730426608253545,-0.963811093218047,-0.8344239625518327,0.026656797902653014,-1.081728315058308,-0.2623813509850079,-0.8851608008511882
Steven Adams,2016.0,-1.014345624017558,0.26345478362456215,-0.3481833559742711,0.19463114085087824,-0.3377657207439157,1.331824765371651,1.7379468038539274
Arron Afflalo,2016.0,0.9244313304758353,1.2401971003217407,0.5109253227748223,-0.7712213311014159,-0.20598440001172644,0.12668664568531762,-0.8069422504090998
Alexis Ajinca,2016.0,0.19738997254081284,-0.9940231937434467,-0.6993988018237225,-0.1623143379140999,-0.5069932636566316,0.5416925088003318,-0.4742719130844986
Cole Aldrich,2016.0,0.19738997254081284,-1.1437409363470936,-0.7878152774412406,1.4124451272255103,-0.31683401208175566,0.6112924504269123,-0.17886465193260762
LaMarcus Aldridge,2016.0,0.9244313304758353,0.9026707027542774,1.428605840870559,1.6434098487793194,0.02373054507014183,0.18872721812734222,1.6102302078119914
Tony Allen,2016.0,1.893819807722532,0.2797944946587157,-0.27571047630291246,-0.3512854737308532,-0.12583217053954757,1.2505257652340809,-0.8336879425965464
Al-Farouq Aminu,2016.0,-0.28730426608253545,0.664375498267454,0.05575410927275794,-0.3932790594679097,0.18144275997356074,0.25732492424210185,-0.1764597796349933
Justin Anderson,2016.0,-1.014345624017558,-1.3302747174091674,-1.086089039900832,-0.477266230942022,-1.1084331760325274,-1.681890041867044,-0.9015973165420219
Kyle Anderson,2016.0,-1.014345624017558,-0.8314201193772573,-0.9612168200332719,-0.3512854737308532,-0.7064858194850387,-1.0308737785962236,-0.829297771466008
Ryan Anderson,2016.0,0.19738997254081284,0.8872446335179538,1.2593298260584003,0.5515766196158564,0.056130978625818936,-0.40661160833653254,1.3723891587846626
Giannis Antetokounmpo,2016.0,-1.256692743329232,1.4651662587727707,1.2318360664791663,0.8875253055123069,1.6088831848369476,2.0013459429751697,1.7379468038539274
Carmelo Anthony,2016.0,1.1667784497875096,1.447506167048988,2.1120834260159396,1.202477198540229,1.4135205706567895,0.8918537058036246,2.2144804301085284
Trevor Ariza,2016.0,0.9244313304758353,1.46621156015206,0.4846366473813773,-0.3512854737308532,0.0955981734096894,0.41008185313654233,-0.16358869084780928
Darrell Arthur,2016.0,0.19738997254081284,-0.15458717400248545,-0.422790115417851,-0.43527264520496584,-0.4723267050006575,1.1104728658374263,-0.1580297530440254
Omer Asik,2016.0,0.6820842111641612,-0.6695689298657724,-1.055273939494379,-0.7502245382328878,-0.548314084345641,-0.14337231670937933,0.23748778731873274
D.J. Augustin,2016.0,0.439737091852487,-0.4703467846365196,-0.4221374592390114,-0.14131754504557184,0.045081982851071824,-0.8359428815602945,-0.18518162670963478
Luke Babbitt,2016.0,-0.04495714677086132,-0.5917094352576994,-0.5238980137189588,-0.6242437810217191,-1.0418727716986962,-0.0035545560369472386,-0.8517287172017539
Leandro Barbosa,2016.0,1.6514726884108577,-0.8425776349332819,-0.6283120260286292,-0.6032469881531911,-0.677598167258981,-0.5259558467685325,-1.0379732216083066
J.J. Barea,2016.0,1.1667784497875096,-0.051215130590907654,0.17741323288638486,0.1736343479823502,0.2613337244784423,-0.6591606052469977,-0.607926212737849
Harrison Barnes,2016.0,-0.7719985047058838,0.9484622836734601,0.3205185233528523,-0.477266230942022,-0.5718202812389755,0.21943416812390087,1.818815956912456
Matt Barnes,2016.0,2.136166927034206,0.6961053140695678,0.010075507616085347,-0.6032469881531911,0.34306564521475624,1.777836617519559,-0.8315923493840154
Will Barton,2016.0,-0.28730426608253545,0.6817658780820741,0.7876343910404906,0.2996151051935189,0.4724445633255384,-0.19057774509544373,-0.6547434605818219
Nicolas Batum,2016.0,0.19738997254081284,1.4276061437981573,0.8897830422505513,0.2156279337194063,2.021536869890955,-0.44172317040256753,1.7332561974029934
Jerryd Bayless,2016.0,0.19738997254081284,0.7111400132176667,0.08622836198534624,-0.4562694380734939,0.10663055546809234,0.3326931618710156,0.03591249048631719
Aron Baynes,2016.0,0.6820842111641612,-0.919276219110236,-0.6322010949483338,0.6775573768270255,-0.6176304180416822,-0.08113650644558046,-0.5543456326791043
Kent Bazemore,2016.0,-0.04495714677086132,0.5722258078942047,0.30270793178152433,-0.24630150938821252,0.6543972698424598,0.6572024740340104,1.0352721765750161
Bradley Beal,2016.0,-1.014345624017558,0.9621462290023379,1.3279971670562916,0.19463114085087824,0.9010108555348152,0.32145644280634145,1.9026424648825981
Michael Beasley,2016.0,0.19738997254081284,-0.5713559073931058,0.5015749888746364,1.6644066416478478,-0.1493803427844774,0.05016993967348686,-0.8336879425965464
Marco Belinelli,2016.0,0.6820842111641612,0.1937270327943237,0.056389091297543145,-1.086173224129338,-0.17893099030752646,-0.8860344632947946,-0.30443853013017586
Patrick Beverley,2016.0,0.19738997254081284,0.6878688400123226,-0.010199953262213114,-0.33028868086232516,-0.04678548906008829,2.1096548014848735,-0.4045683919628519
Bismack Biyombo,2016.0,-0.7719985047058838,-0.10804720516526349,-0.7754373611714226,0.0686503836397095,-0.5690355749868036,1.2651059302515795,1.0466284548106692
Nemanja Bjelica,2016.0,0.19738997254081284,-0.5990839018753057,-0.8468262736113036,-0.7082309524958318,-0.6726730593384729,0.9938759804860657,-0.6021020883329254
Tarik Black,2016.0,-0.5296513853942096,-1.216869713003446,-1.1518677307365524,-0.477266230942022,-0.948005534817652,0.12668664568531762,-0.685486029050189
