Player,Stats_from,Age,MPG,PPG,PER,TOPG,PFG,2017_2018 Salary
Aaron Brooks,2016.0,31.0,16.057971014492754,7.115942028985507,11.8,1.1884057971014492,1.9130434782608696,2.116955
Reggie Bullock,2016.0,24.0,11.594594594594595,3.2972972972972974,12.0,0.21621621621621623,0.7837837837837838,2.5
Trey Burke,2016.0,23.0,21.34375,10.609375,14.0,1.25,1.34375,0.78416
Alec Burks,2016.0,24.0,25.70967741935484,13.290322580645162,14.3,1.6451612903225807,2.2903225806451615,10.845506
Caron Butler,2016.0,35.0,10.352941176470589,3.7058823529411766,11.3,0.17647058823529413,1.1176470588235294,0.51722
Jimmy Butler,2016.0,26.0,36.92537313432836,20.880597014925375,21.3,1.9701492537313432,1.8507462686567164,19.30107
Bruno Caboclo,2016.0,20.0,7.166666666666667,0.5,-7.7,0.6666666666666666,0.3333333333333333,2.451225
Jose Calderon,2016.0,34.0,28.11111111111111,7.555555555555555,12.3,1.2083333333333333,1.875,2.328652
Kentavious Caldwell-Pope,2016.0,22.0,36.69736842105263,14.539473684210526,12.4,1.381578947368421,2.1973684210526314,17.745894
Isaiah Canaan,2016.0,24.0,25.532467532467532,10.987012987012987,11.1,1.1818181818181819,1.7272727272727273,1.069308
Clint Capela,2016.0,21.0,19.103896103896105,7.038961038961039,18.3,0.7792207792207793,2.4675324675324677,2.33452
DeMarre Carroll,2016.0,29.0,30.23076923076923,11.0,11.9,1.0769230769230769,2.423076923076923,14.8
Vince Carter,2016.0,39.0,16.75,6.583333333333333,12.7,0.5833333333333334,1.6833333333333333,8.0
Michael Carter-Williams,2016.0,24.0,30.537037037037038,11.537037037037036,13.9,2.8333333333333335,3.0,2.7
Omri Casspi,2016.0,27.0,27.246376811594203,11.782608695652174,13.9,1.3623188405797102,2.2318840579710146,2.10647
Willie Cauley-Stein,2016.0,22.0,21.393939393939394,7.015151515151516,15.3,0.696969696969697,2.212121212121212,3.70416
Mario Chalmers,2016.0,29.0,22.508196721311474,10.295081967213115,17.3,1.8032786885245902,2.9672131147540983,2.106407
